Date,Open,High,Low,Close,Agression
2015-03-03,10.62,10.8,10.43,10.59,-40600.0
2015-03-04,10.5,10.73,10.46,10.73,-86500.0
2015-03-05,10.74,10.88,10.69,10.69,-15300.0
2015-03-06,10.67,10.68,10.4,10.62,-6600.0
2015-03-09,10.59,10.59,10.13,10.27,-1026600.0
2015-03-10,10.19,10.44,10.05,10.44,-3800.0
2015-03-11,10.36,10.44,10.28,10.4,-18000.0
2015-03-12,10.44,10.55,10.36,10.51,-2500.0
2015-03-13,10.5,10.5,10.18,10.28,-75900.0
2015-03-16,10.31,10.38,10.01,10.13,-45700.0
2015-03-17,10.1,10.22,10.04,10.13,-22600.0
2015-03-18,10.13,10.4,10.03,10.4,-70800.0
2015-03-19,10.34,10.68,10.28,10.62,-41700.0
2015-03-20,10.65,10.7,10.5,10.51,7300.0
2015-03-23,10.59,10.61,10.39,10.44,-48400.0
2015-03-24,10.44,10.44,10.06,10.21,-84600.0
2015-03-25,10.19,10.85,10.11,10.7,-35400.0
2015-03-26,10.62,10.62,10.41,10.59,-59400.0
2015-03-27,10.59,10.59,10.4,10.59,-25800.0
2015-03-30,10.54,10.65,10.18,10.18,-90300.0
2015-03-31,10.24,10.62,10.03,10.62,54500.0
2015-04-01,10.63,10.66,10.47,10.62,17200.0
2015-04-02,10.57,10.8,10.51,10.7,10800.0
2015-04-06,10.71,11.15,10.65,11.15,-29000.0
2015-04-07,11.18,11.25,10.87,11.05,-125900.0
2015-04-08,11.33,11.82,11.11,11.71,61600.0
2015-04-09,11.71,12.23,11.51,12.19,11300.0
2015-04-10,12.01,12.34,11.82,11.9,-58500.0
2015-04-13,11.9,12.38,11.7,12.09,11200.0
2015-04-14,12.08,12.26,11.85,12.16,8500.0
2015-04-15,12.16,12.34,12.09,12.22,1400.0
2015-04-16,12.05,12.42,12.05,12.32,99200.0
2015-04-17,12.32,12.46,11.99,12.3,-36200.0
2015-04-20,11.97,12.84,11.97,12.81,241900.0
2015-04-22,12.8,13.43,12.66,13.43,47500.0
2015-04-23,13.39,13.98,13.27,13.66,-286600.0
2015-04-24,13.48,14.36,13.38,14.36,-141000.0
2015-04-27,14.05,14.32,14.03,14.25,52900.0
2015-04-28,14.35,14.35,13.84,13.9,-12800.0
2015-04-29,13.91,13.96,13.44,13.55,32300.0
2015-04-30,13.8,13.8,13.21,13.54,-47600.0
2015-05-04,13.57,13.75,13.46,13.75,-3200.0
2015-05-05,13.74,13.89,13.61,13.63,-8000.0
2015-05-06,13.86,13.96,13.42,13.59,42400.0
2015-05-07,13.59,13.65,13.45,13.55,21400.0
2015-05-08,13.62,13.83,13.49,13.49,-273900.0
2015-05-11,13.5,13.65,13.19,13.25,-70700.0
2015-05-12,13.28,13.36,12.81,13.24,-2600.0
2015-05-13,13.09,13.65,12.94,13.28,2000.0
2015-05-14,13.32,13.88,13.32,13.75,-22300.0
2015-05-15,13.68,14.68,13.68,14.44,118900.0
2015-05-18,14.44,14.83,14.43,14.68,58400.0
2015-05-19,14.79,15.04,14.45,14.64,103400.0
2015-05-20,14.5,14.89,14.45,14.6,60100.0
2015-05-21,14.52,14.84,14.5,14.84,92200.0
2015-05-22,14.85,14.96,14.68,14.96,-158900.0
2015-05-25,14.82,15.15,14.79,14.84,6000.0
2015-05-26,14.71,14.82,14.49,14.76,-14800.0
2015-05-27,14.75,14.88,14.27,14.5,6100.0
2015-05-28,14.53,15.02,14.13,14.88,33400.0
2015-05-29,14.76,15.39,14.75,15.23,50800.0
2015-06-01,15.23,15.23,14.58,14.88,-5000.0
2015-06-02,14.77,15.17,14.77,15.1,-45700.0
2015-06-03,15.09,15.46,15.0,15.23,-13100.0
2015-06-05,15.09,15.24,14.99,15.06,11400.0
2015-06-08,14.97,15.08,14.6,14.61,-37700.0
2015-06-09,14.7,14.7,14.35,14.37,-11000.0
2015-06-10,14.56,14.65,14.38,14.49,-52900.0
2015-06-11,14.5,14.5,14.32,14.45,-9600.0
2015-06-12,14.44,14.44,14.12,14.15,-6600.0
2015-06-15,13.98,14.12,13.75,13.96,1300.0
2015-06-16,14.05,14.07,13.78,14.02,-19000.0
2015-06-17,14.0,14.01,13.76,13.9,19100.0
2015-06-18,13.78,14.32,13.67,14.18,36200.0
2015-06-19,14.1,14.48,13.94,14.32,-101100.0
2015-06-22,14.26,14.64,14.02,14.19,40200.0
2015-06-23,13.98,14.19,13.75,14.06,131900.0
2015-06-24,14.14,14.18,13.78,14.06,58800.0
2015-06-25,14.44,14.44,13.67,13.78,-90900.0
2015-06-26,13.89,14.45,13.88,14.25,35600.0
2015-06-29,14.25,14.25,13.78,14.1,-11400.0
2015-06-30,14.33,14.68,13.98,14.68,1200.0
2015-07-01,14.53,14.96,14.34,14.57,10400.0
2015-07-02,14.5,14.67,14.18,14.45,-17800.0
2015-07-03,14.53,15.22,14.46,14.96,58900.0
2015-07-06,14.87,14.88,14.38,14.6,75900.0
2015-07-07,14.68,14.75,14.3,14.45,346500.0
2015-07-08,14.49,14.65,14.22,14.28,-31800.0
2015-07-10,14.45,14.99,14.32,14.53,-8000.0
2015-07-13,14.7,15.51,14.39,14.85,594400.0
2015-07-14,15.0,15.5,14.78,15.5,108600.0
2015-07-15,15.38,15.62,15.33,15.46,3200.0
2015-07-16,15.5,15.75,15.39,15.58,21100.0
2015-07-17,15.56,15.62,15.31,15.42,-75800.0
2015-07-20,15.51,15.62,15.27,15.46,68700.0
2015-07-21,15.48,15.73,15.27,15.42,-13400.0
2015-07-22,15.56,15.56,14.39,14.99,-76300.0
2015-07-23,14.91,14.91,14.56,14.76,-10000.0
2015-07-24,14.82,14.84,14.46,14.68,65000.0
2015-07-27,14.67,14.68,14.25,14.49,-2100.0
2015-07-28,14.65,14.65,13.87,14.14,-11500.0
2015-07-29,14.19,14.5,14.1,14.44,-30800.0
2015-07-30,14.59,14.59,13.94,14.05,-23400.0
2015-07-31,14.13,14.68,13.88,14.6,-37300.0
2015-08-03,14.6,14.6,14.01,14.1,137800.0
2015-08-04,14.18,14.18,13.81,14.06,-100.0
2015-08-05,14.25,14.29,13.89,14.29,-26600.0
2015-08-06,14.43,14.55,13.88,13.98,38600.0
2015-08-07,13.97,14.25,13.62,14.06,109000.0
2015-08-10,13.87,14.06,13.75,14.06,-30400.0
2015-08-11,14.0,14.01,13.43,13.82,12800.0
2015-08-12,13.78,13.82,13.56,13.82,-30600.0
2015-08-13,13.73,13.79,13.61,13.75,-29500.0
2015-08-14,13.82,13.82,13.43,13.55,-11100.0
2015-08-17,13.59,13.82,13.16,13.36,-235000.0
2015-08-18,13.24,13.43,13.09,13.27,28000.0
2015-08-19,13.27,13.28,12.71,13.28,-5900.0
2015-08-20,13.27,13.29,12.98,13.07,-81800.0
2015-08-21,12.96,13.42,12.96,13.08,-279500.0
2015-08-24,12.89,13.28,12.34,13.28,17900.0
2015-08-25,13.33,13.37,12.93,13.0,-14400.0
2015-08-26,13.11,13.39,12.78,13.39,44500.0
2015-08-27,13.21,13.37,13.12,13.12,-12000.0
2015-08-28,12.96,13.43,12.96,13.12,-11800.0
2015-08-31,13.11,13.11,12.66,12.96,28600.0
2015-09-01,12.81,12.98,12.62,12.73,17500.0
2015-09-02,12.71,12.78,12.34,12.34,27700.0
2015-09-03,12.33,12.85,12.23,12.69,-47700.0
2015-09-04,12.5,13.11,12.5,12.89,-26000.0
2015-09-08,13.08,13.28,12.75,13.15,56300.0
2015-09-09,13.28,13.29,12.87,13.04,44700.0
2015-09-10,12.89,13.12,12.26,12.57,189000.0
2015-09-11,12.63,12.73,12.11,12.36,-70700.0
2015-09-14,12.43,12.43,12.03,12.18,8200.0
2015-09-15,12.25,12.26,12.0,12.22,-29300.0
2015-09-16,12.34,12.61,12.1,12.46,5700.0
2015-09-17,12.39,13.14,12.2,12.53,-22800.0
2015-09-18,12.45,12.77,12.22,12.77,-36100.0
2015-09-21,12.57,12.62,12.14,12.2,7500.0
2015-09-22,12.2,12.2,11.36,11.72,-19900.0
2015-09-23,11.82,11.82,11.07,11.19,-7300.0
2015-09-24,11.19,11.19,10.74,10.93,-45700.0
2015-09-25,10.94,11.09,10.82,10.82,-10200.0
2015-09-28,10.65,10.85,10.54,10.62,-9100.0
2015-09-29,10.69,10.88,10.34,10.39,2300.0
2015-09-30,10.46,10.78,10.39,10.78,-9800.0
